source,target,,,,,source,target
1,3,,1,1,,1,3
2,3,,2,4,,2,3
2,4,,3,7,,2,4
3,4,,4,9,,3,1
4,5,,5,1,,3,2
4,6,,6,4,,3,4
4,8,,7,2,,4,2
4,9,,8,6,,4,3
6,8,,9,7,,4,5
6,9,,10,3,,4,6
7,9,,11,2,,4,8
9,6,,12,3,,4,9
9,8,,13,9,,5,4
9,10,,14,12,,6,8
9,11,,15,16,,6,9
10,8,,16,3,,7,9
10,13,,17,4,,9,6
11,12,,18,2,,9,7
12,14,,19,4,,9,8
13,14,,20,3,,9,10
13,15,,21,4,,9,11
14,15,,22,4,,10,8
14,16,,23,3,,10,9
15,13,,24,6,,10,13
15,16,,25,7,,11,9
16,17,,26,4,,11,12
17,18,,27,8,,12,11
17,19,,28,10,,12,14
18,19,,29,5,,13,10
20,8,,30,2,,13,14
20,19,,31,5,,13,15
20,21,,32,6,,14,12
21,7,,33,2,,14,13
21,8,,34,2,,14,15
21,19,,35,3,,14,16
22,12,,36,3,,15,13
22,14,,37,1,,15,14
22,15,,38,2,,15,16
22,17,,39,6,,16,14
23,14,,40,6,,16,15
23,15,,41,9,,16,17
23,25,,42,9,,17,16
24,13,,43,5,,17,18
24,14,,44,5,,17,19
24,15,,45,2,,18,17
24,25,,46,4,,18,19
24,28,,47,1,,19,17
25,13,,48,1,,19,18
25,14,,49,1,,20,8
25,15,,50,4,,20,19
25,26,,51,3,,20,21
25,28,,52,5,,21,7
26,14,,53,2,,21,8
26,15,,54,12,,21,19
26,28,,55,3,,21,20
27,15,,56,3,,22,12
27,28,,57,6,,22,14
27,41,,58,1,,22,15
27,42,,59,2,,22,17
27,43,,60,1,,23,14
27,44,,61,6,,23,15
27,45,,,,,23,25
28,13,,,,,24,13
28,14,,,,,24,14
28,15,,,,,24,15
28,24,,,,,24,25
28,29,,,,,24,28
29,13,,,,,25,13
29,14,,,,,25,14
29,15,,,,,25,15
30,15,,,,,25,23
31,3,,,,,25,24
31,13,,,,,25,26
31,14,,,,,25,28
31,15,,,,,26,14
31,32,,,,,26,15
32,3,,,,,26,25
32,32,,,,,26,28
32,34,,,,,27,15
33,3,,,,,27,28
33,32,,,,,27,41
34,3,,,,,27,42
35,2,,,,,27,43
35,4,,,,,27,44
35,36,,,,,27,45
36,2,,,,,28,13
36,4,,,,,28,14
37,4,,,,,28,15
38,29,,,,,28,24
38,30,,,,,28,25
39,15,,,,,28,26
39,28,,,,,28,27
39,40,,,,,28,29
39,41,,,,,29,13
40,41,,,,,29,14
40,52,,,,,29,15
40,54,,,,,29,28
40,55,,,,,30,15
40,56,,,,,31,3
41,39,,,,,31,13
41,42,,,,,31,14
41,46,,,,,31,15
42,43,,,,,31,32
42,44,,,,,32,3
42,46,,,,,32,32
42,47,,,,,32,33
42,48,,,,,32,34
42,49,,,,,33,3
43,44,,,,,33,32
43,61,,,,,34,3
44,43,,,,,34,32
45,50,,,,,35,2
46,41,,,,,35,4
46,61,,,,,35,36
50,54,,,,,36,2
50,59,,,,,36,4
51,50,,,,,36,35
51,52,,,,,37,4
51,54,,,,,38,29
52,53,,,,,38,30
52,54,,,,,39,15
53,54,,,,,39,28
54,15,,,,,39,40
54,55,,,,,39,41
54,56,,,,,40,39
54,58,,,,,40,41
54,59,,,,,40,52
54,60,,,,,40,54
57,39,,,,,40,55
57,41,,,,,40,56
57,52,,,,,41,27
57,54,,,,,41,39
57,55,,,,,41,40
57,56,,,,,41,42
61,27,,,,,41,46
61,41,,,,,42,27
61,42,,,,,42,41
61,44,,,,,42,43
,,,,,,42,44
6,6,,,,,42,46
,,,,,,42,47
,,,,,,42,48
,,,,,,42,49
,,,,,,43,27
,,,,,,43,42
,,,,,,43,44
,,,,,,43,61
,,,,,,44,27
,,,,,,44,43
,,,,,,45,27
,,,,,,45,50
,,,,,,46,41
,,,,,,46,42
,,,,,,46,61
,,,,,,47,42
,,,,,,48,42
,,,,,,49,42
,,,,,,50,45
,,,,,,50,54
,,,,,,50,59
,,,,,,51,50
,,,,,,51,52
,,,,,,51,54
,,,,,,52,40
,,,,,,52,51
,,,,,,52,53
,,,,,,52,54
,,,,,,53,52
,,,,,,53,54
,,,,,,54,15
,,,,,,54,40
,,,,,,54,50
,,,,,,54,51
,,,,,,54,52
,,,,,,54,53
,,,,,,54,55
,,,,,,54,56
,,,,,,54,58
,,,,,,54,59
,,,,,,54,60
,,,,,,55,40
,,,,,,55,54
,,,,,,56,40
,,,,,,56,54
,,,,,,57,39
,,,,,,57,41
,,,,,,57,52
,,,,,,57,54
,,,,,,57,55
,,,,,,57,56
,,,,,,58,54
,,,,,,59,54
,,,,,,60,54
,,,,,,61,27
,,,,,,61,41
,,,,,,61,42
,,,,,,61,43
,,,,,,61,44
,,,,,,61,46
